,Kcalories,Glucides,Protéines,Lipides
lait-de-poule,88,8.05,4.55,4.19
champagne-champagne-brut,70,15,0,0
chocolat-en-poudre,400,90.28,4.55,2.27
poudre-de-cacao,398,83.73,6.67,4
poudre-de-cacao-non-sucree,228,57.9,19.6,13.7
lait-de-coco,230,5.54,2.29,23.84
eau-de-coco,19,3.71,0.72,0.2
boisson-maltee,37,8.05,0.21,0.12
jus-de-fruits-legumes,29,7.47,0.04,0.01
boisson-de-riz,47,9.17,0.28,0.97
lait-demi-ecreme-marque-repere,46,4.8,3.2,1.6
boisson-water,20,5,0,0
gateaux-aux-pepites-de-chocolat-ptit-deli,443.3333,52.4,6.6667,23
biscuit-chocolat-au-lait-sondey,500,62.6,7.4,23.8
compote-pommes-banane-andros,87,17,0.5,0.2
galette-de-riz-au-sesame-auchan-bio,376.6234,77.9221,7.7922,3.8961
kub-or-maggi,168,18,6.4,7.6
j-malbouffe,1500,0,0,0
crackers-gout-emmental-carrefour,519,49,14,29
oeuf-au-plat-698874,91,0.6,6.4,7
compote-netto,57,14,0.5,0.5
tarte-maison-marie,222.2857,21.1429,6.8571,12
compote-pommes-banane-vanille-charles-et-alice,78,17.1,0.7,0.4
jogurt-soja-chocolat-milbona,109,18.1,3.4,2.1
veloute-de-champignons-knorr,46,5.5,1,2.3
pain-a-hamburger-kentucky-fried-chicken-kfc,356,42.51,7.25,17.45
pain-a-hamburger-grande-taille-mcdonalds,344,43.76,6.16,16.01
pain-a-hamburger-mcdonalds,344,43.77,6.16,16
poitrine-de-poulet-panee-kentucky-fried-chicken-kfc,268,8.47,21.24,16.55
pilons-de-poulet-panes-kentucky-fried-chicken-kfc,274,7.96,20.62,17.73
ailes-de-poulet-panees-kentucky-fried-chicken-kfc,337,11.66,20.8,23
chicken-mcnuggets-mcdonalds,302,15.09,15.79,19.81
lanieres-de-poulet-burger-king,320,17.55,15.42,20.89
lanieres-de-poulet-frit-kentucky-fried-chicken-kfc,274,13.66,20.25,15.42
poitrine-de-poulet-frit-kentucky-fried-chicken-kfc,153,0.25,27.25,4.82
pilons-de-poulet-frit-kentucky-fried-chicken-kfc,170,0,25.9,7.43
cuisse-de-poulet-frit-kentucky-fried-chicken-kfc,179,0,22.41,9.96
aile-de-poulet-frit-kentucky-fried-chicken-kfc,236,2.97,28.67,12.13
egg-mcmuffin-mcdonalds,228,21.67,13.64,9.66
muffin-anglais-mcdonalds,285,44.36,9.26,7.87
frites-burger-king,280,38.7,3.23,12.48
frites-mcdonalds,323,42.58,3.41,15.47
pain-perdu-frit-burger-king,349,41.21,6,17.74
